Original ID,Land use name,Group,IMWEBs code,IMWEBs ID
20,Water,Non-Crop,,Not proceed
30,Exposed Land,Non-Crop,,Not proceed
34,Developed,Non-Crop,,Not proceed
35,Greenhouses,Non-Crop (no nutrient loss),,Not proceed
50,Shrubland,Non-Crop,,Not proceed
80,Wetland,Non-Crop,,Not proceed
110,Grassland,Non-Crop,,Not proceed
120,Agriculture (undifferentiated),Cereals,AGRL,1
122,Pasture / Forages,Forages,PAST,12
130,Too Wet to be Seeded,Not Seeded,BARE,98
131,Fallow,Not Seeded,BARE,98
133,Greenfeed/Mixed Cereals,Cereals,BARL,31
135,Millet,Other Crops,PMIL,34
136,Oats,Cereals,OATS,32
137,Rye,Cereals,RYE,30
138,Spelt,Cereals,RYE,30
139,Triticale,Cereals,RYE,30
145,Winter Wheat,Cereals,WWHT,28
146,Spring Wheat,Cereals,SWHT,27
147,Corn,Other Crops,CORN,19
152,Camelina,Oilseeds,FLAX,65
153,Canola/Rapeseed,Oilseeds,CANA,76
154,Flaxseed,Oilseeds,FLAX,65
155,Mustard,Oilseeds,FLAX,65
156,Safflower,Oilseeds,FLAX,65
157,Sunflowers,Other Crops,SUNF,74
158,Soybeans,Other Crops,SOYB,56
162,Peas,Other Crops,PEAS,63
167,Beans,Other Crops,GRBN,84
174,Lentils,Other Crops,LENT,60
177,Potatoes,Vegetables,POTA,70
178,Sugarbeets,Other Crops,SUGC,26
179,Other Vegetables,Vegetables,TOMA,92
188,Orchards,Fruit,APPL,93
190,Vineyards,Fruit,APPL,93
193,Herbs,Fruit,APPL,93
195,Buckwheat,Cereals,WWHT,28
196,Canaryseed,Oilseeds,FLAX,65
197,Hemp,Oilseeds,FLAX,65
199,Other Crops,Other Crops,AGRL,1
210,Coniferous,Non-Crop,,Not proceed
220,Broadleaf,Non-Crop,,Not proceed
230,Mixedwood,Non-Crop,,Not proceed
